[2023-05-06 22:52:04,371][__main__][INFO] - Training seed 0 for 200000 timesteps with DDPGAgent and NormalReplayBuffer
[2023-05-07 00:03:48,239][core][INFO] - Seed: 3407, Step: 25000, Eval mean: -486.04930419921874, Eval std: 45.09820663059551
[2023-05-07 00:04:30,615][core][INFO] - Seed: 3407, Step: 30000, Eval mean: -407.80299072265626, Eval std: 141.44453294987815
[2023-05-07 00:05:24,609][core][INFO] - Seed: 3407, Step: 35000, Eval mean: 80.27501077651978, Eval std: 110.42065532803603
[2023-05-07 00:06:15,252][core][INFO] - Seed: 3407, Step: 40000, Eval mean: 121.7796730041504, Eval std: 105.43661717024791
[2023-05-07 00:07:02,026][core][INFO] - Seed: 3407, Step: 45000, Eval mean: 57.39493103027344, Eval std: 187.9677087147347
[2023-05-07 00:07:57,119][core][INFO] - Seed: 3407, Step: 50000, Eval mean: -94.26327056884766, Eval std: 43.71134860599322
[2023-05-07 00:08:51,128][core][INFO] - Seed: 3407, Step: 55000, Eval mean: -17.097414016723633, Eval std: 77.40318670871018
[2023-05-07 00:09:50,217][core][INFO] - Seed: 3407, Step: 60000, Eval mean: 4.651875591278076, Eval std: 9.94120084296031
[2023-05-07 00:10:51,710][core][INFO] - Seed: 3407, Step: 65000, Eval mean: -20.648352813720702, Eval std: 7.8742914876616625
[2023-05-07 00:11:51,318][core][INFO] - Seed: 3407, Step: 70000, Eval mean: -21.818861961364746, Eval std: 5.469869575542482
[2023-05-07 00:12:50,436][core][INFO] - Seed: 3407, Step: 75000, Eval mean: 89.69947776794433, Eval std: 90.31115031815156
[2023-05-07 00:13:48,039][core][INFO] - Seed: 3407, Step: 80000, Eval mean: -46.844656753540036, Eval std: 23.681680983347448
[2023-05-07 00:14:40,378][core][INFO] - Seed: 3407, Step: 85000, Eval mean: 130.7337417602539, Eval std: 87.38185728400038
[2023-05-07 00:15:37,287][core][INFO] - Seed: 3407, Step: 90000, Eval mean: 133.79288477897643, Eval std: 81.19998447988478
[2023-05-07 00:16:28,253][core][INFO] - Seed: 3407, Step: 95000, Eval mean: 122.6755874633789, Eval std: 134.03949998292427
[2023-05-07 00:17:14,206][core][INFO] - Seed: 3407, Step: 100000, Eval mean: 237.60902404785156, Eval std: 25.204882655691968
[2023-05-07 00:18:01,759][core][INFO] - Seed: 3407, Step: 105000, Eval mean: 125.55124654769898, Eval std: 105.6431328259803
[2023-05-07 00:18:47,114][core][INFO] - Seed: 3407, Step: 110000, Eval mean: 220.47348022460938, Eval std: 10.864439299467005
[2023-05-07 00:19:34,731][core][INFO] - Seed: 3407, Step: 115000, Eval mean: 236.05845336914064, Eval std: 7.123761760459078
[2023-05-07 00:20:26,696][core][INFO] - Seed: 3407, Step: 120000, Eval mean: 138.42872009277343, Eval std: 174.59193043557337
[2023-05-07 00:21:09,367][core][INFO] - Seed: 3407, Step: 125000, Eval mean: 243.85037536621093, Eval std: 30.16158982114623
[2023-05-07 00:21:55,836][core][INFO] - Seed: 3407, Step: 130000, Eval mean: 252.12014770507812, Eval std: 18.835309033913628
[2023-05-07 00:22:46,106][core][INFO] - Seed: 3407, Step: 135000, Eval mean: 246.82880249023438, Eval std: 10.432051717848909
[2023-05-07 00:23:32,417][core][INFO] - Seed: 3407, Step: 140000, Eval mean: 197.94464111328125, Eval std: 90.2732247924099
[2023-05-07 00:24:16,233][core][INFO] - Seed: 3407, Step: 145000, Eval mean: 250.29945678710936, Eval std: 28.61284442149982
[2023-05-07 00:25:03,257][core][INFO] - Seed: 3407, Step: 150000, Eval mean: 253.33016357421874, Eval std: 7.224420124900073
[2023-05-07 00:25:47,826][core][INFO] - Seed: 3407, Step: 155000, Eval mean: 239.3108337402344, Eval std: 18.85959578570541
