[2023-05-06 23:56:01,021][__main__][INFO] - Training seed 0 for 200000 timesteps with TD3Agent and NormalReplayBuffer
[2023-05-07 00:47:32,933][core][INFO] - Seed: 42, Step: 115000, Eval mean: -74.83332977294921, Eval std: 22.4007512059425
[2023-05-07 00:48:29,784][core][INFO] - Seed: 42, Step: 120000, Eval mean: -56.246628761291504, Eval std: 32.65380236232471
[2023-05-07 00:49:25,108][core][INFO] - Seed: 42, Step: 125000, Eval mean: -17.017021560668944, Eval std: 26.366232878852436
[2023-05-07 00:50:16,186][core][INFO] - Seed: 42, Step: 130000, Eval mean: -31.43478879928589, Eval std: 29.577558923972976
[2023-05-07 00:51:11,625][core][INFO] - Seed: 42, Step: 135000, Eval mean: -34.593572998046874, Eval std: 12.974684116233243
[2023-05-07 00:52:05,572][core][INFO] - Seed: 42, Step: 140000, Eval mean: -17.238511085510254, Eval std: 23.217441690375814
[2023-05-07 00:53:00,290][core][INFO] - Seed: 42, Step: 145000, Eval mean: -98.95051956176758, Eval std: 74.58016698761142
[2023-05-07 00:53:54,092][core][INFO] - Seed: 42, Step: 150000, Eval mean: -20.888283681869506, Eval std: 24.034447961746757
[2023-05-07 00:54:50,376][core][INFO] - Seed: 42, Step: 155000, Eval mean: -14.222569179534911, Eval std: 17.637874459397175
[2023-05-07 00:55:44,256][core][INFO] - Seed: 42, Step: 160000, Eval mean: -39.347956371307376, Eval std: 23.94299607617888
[2023-05-07 00:56:40,100][core][INFO] - Seed: 42, Step: 165000, Eval mean: -41.74732360839844, Eval std: 41.52175976925237
[2023-05-07 00:57:35,795][core][INFO] - Seed: 42, Step: 170000, Eval mean: -21.544722175598146, Eval std: 33.75899684168574
[2023-05-07 00:58:29,489][core][INFO] - Seed: 42, Step: 175000, Eval mean: -32.95280132293701, Eval std: 45.18447602737458
[2023-05-07 00:59:26,808][core][INFO] - Seed: 42, Step: 180000, Eval mean: -6.230541038513183, Eval std: 35.14050342770438
[2023-05-07 01:00:23,996][core][INFO] - Seed: 42, Step: 185000, Eval mean: -13.567325592041016, Eval std: 33.69459057979458
[2023-05-07 01:01:20,355][core][INFO] - Seed: 42, Step: 190000, Eval mean: -21.587408471107484, Eval std: 33.76249217257144
[2023-05-07 01:02:14,806][core][INFO] - Seed: 42, Step: 195000, Eval mean: -46.55307502746582, Eval std: 67.48646526593377
[2023-05-07 01:03:09,198][core][INFO] - Seed: 42, Step: 200000, Eval mean: -9.613092708587647, Eval std: 22.801216011048982
[2023-05-07 01:03:51,097][__main__][INFO] - Finish training seed 42 with everage eval mean: -6.230541038513183
[2023-05-07 01:03:51,118][__main__][INFO] - Training seed 3407 for 200000 timesteps with TD3Agent and NormalReplayBuffer
[2023-05-07 01:04:38,027][core][INFO] - Seed: 3407, Step: 5000, Eval mean: -125.46235961914063, Eval std: 47.85526309948918
[2023-05-07 01:05:21,242][core][INFO] - Seed: 3407, Step: 10000, Eval mean: -163.71661071777345, Eval std: 27.853553804831904
[2023-05-07 01:06:03,970][core][INFO] - Seed: 3407, Step: 15000, Eval mean: -127.07721977233886, Eval std: 50.69613334809248
[2023-05-07 01:06:50,485][core][INFO] - Seed: 3407, Step: 20000, Eval mean: -43.31469860076904, Eval std: 49.8063354605297
[2023-05-07 01:07:40,313][core][INFO] - Seed: 3407, Step: 25000, Eval mean: -0.23469114303588867, Eval std: 83.66429279773965
[2023-05-07 01:08:34,443][core][INFO] - Seed: 3407, Step: 30000, Eval mean: -27.881917572021486, Eval std: 6.126118497724423
[2023-05-07 01:09:34,349][core][INFO] - Seed: 3407, Step: 35000, Eval mean: -13.940833806991577, Eval std: 7.9444293229825
[2023-05-07 01:10:35,073][core][INFO] - Seed: 3407, Step: 40000, Eval mean: -17.985909271240235, Eval std: 6.207783610584112
